Date,SKU,Category,Subcategory,Forecast_Units,Forecast_Revenue,Promotion,is_holiday
2026-01-01,SKU001,Furniture,Chair,13.11,48035.7,0,0
2026-01-01,SKU002,Home Decor,Table,8.67,32995.33,0,0
2026-01-01,SKU003,Kitchen,Cushion,4.99,40310.37,0,0
2026-01-01,SKU004,Lighting,Cookware,4.8,32935.54,0,0
2026-01-01,SKU005,Storage,Lamp,15.97,151606.72,0,0
2026-01-01,SKU006,Furniture,Shelf,6.34,51392.29,0,0
2026-01-01,SKU007,Home Decor,Cabinet,22.78,116498.97,0,0
2026-01-01,SKU008,Kitchen,Rug,14.76,145277.37,0,0
2026-01-01,SKU009,Lighting,Organizer,10.52,24584.08,0,0
2026-01-01,SKU010,Storage,Sofa,16.23,10767.96,0,0
2026-01-01,SKU011,Furniture,Chair,2.9,4189.22,0,0
2026-01-01,SKU012,Home Decor,Table,24.14,211933.99,0,0
2026-01-01,SKU013,Kitchen,Cushion,13.16,75772.38,0,0
2026-01-01,SKU014,Lighting,Cookware,18.92,42962.59,0,0
2026-01-01,SKU015,Storage,Lamp,4.02,24972.72,0,0
2026-01-01,SKU016,Furniture,Shelf,13.21,28623.69,0,0
2026-01-01,SKU017,Home Decor,Cabinet,13.44,113935.18,0,0
2026-01-01,SKU018,Kitchen,Rug,22.95,127955.66,0,0
2026-01-01,SKU019,Lighting,Organizer,15.32,73840.1,0,0
2026-01-01,SKU020,Storage,Sofa,12.95,50473.14,0,0
2026-01-01,SKU021,Furniture,Chair,7.92,61073.34,0,0
2026-01-01,SKU022,Home Decor,Table,9.9,45510.6,0,0
2026-01-01,SKU023,Kitchen,Cushion,14.74,20882.75,0,0
2026-01-01,SKU024,Lighting,Cookware,11.78,20837.29,0,0
2026-01-01,SKU025,Storage,Lamp,2.9,33518.23,0,0
2026-01-01,SKU026,Furniture,Shelf,20.83,227870.62,0,0
2026-01-01,SKU027,Home Decor,Cabinet,23.55,200565.93,0,0
2026-01-01,SKU028,Kitchen,Rug,4.55,15852.61,0,0
2026-01-01,SKU029,Lighting,Organizer,15.0,174636.75,0,0
2026-01-01,SKU030,Storage,Sofa,4.57,43111.14,0,0
2026-01-01,SKU031,Furniture,Chair,17.62,153574.69,0,0
2026-01-01,SKU032,Home Decor,Table,8.6,48268.27,0,0
2026-01-01,SKU033,Kitchen,Cushion,16.8,59774.4,0,0
2026-01-01,SKU034,Lighting,Cookware,18.6,28237.4,0,0
2026-01-01,SKU035,Storage,Lamp,19.9,216316.78,0,0
2026-01-01,SKU036,Furniture,Shelf,4.68,26615.16,0,0
2026-01-01,SKU037,Home Decor,Cabinet,21.58,59289.32,0,0
2026-01-01,SKU038,Kitchen,Rug,7.59,29973.67,0,0
2026-01-01,SKU039,Lighting,Organizer,3.11,22139.93,0,0
2026-01-01,SKU040,Storage,Sofa,14.07,34479.38,0,0
2026-01-01,SKU041,Furniture,Chair,10.25,105951.48,0,0
2026-01-01,SKU042,Home Decor,Table,22.29,205041.92,0,0
2026-01-01,SKU043,Kitchen,Cushion,20.39,178326.25,0,0
2026-01-01,SKU044,Lighting,Cookware,8.65,46816.22,0,0
2026-01-01,SKU045,Storage,Lamp,23.18,177947.76,0,0
2026-01-01,SKU046,Furniture,Shelf,8.67,62211.93,0,0
2026-01-01,SKU047,Home Decor,Cabinet,14.13,112167.05,0,0
2026-01-01,SKU048,Kitchen,Rug,7.65,10553.56,0,0
2026-01-01,SKU049,Lighting,Organizer,24.13,126039.92,0,0
2026-01-01,SKU050,Storage,Sofa,6.25,5517.0,0,0
2026-01-02,SKU001,Furniture,Chair,13.15,48182.26,0,0
2026-01-02,SKU002,Home Decor,Table,8.86,33718.41,0,0
2026-01-02,SKU003,Kitchen,Cushion,5.0,40391.15,0,0
2026-01-02,SKU004,Lighting,Cookware,4.89,33553.08,0,0
2026-01-02,SKU005,Storage,Lamp,15.98,151701.66,0,0
2026-01-02,SKU006,Furniture,Shelf,6.43,52121.84,0,0
