SKU,Product_Name,Category,Subcategory,Current_Stock,On_Order,Lead_Time_Days,Avg_Daily_Demand,Demand_Std,Calculated_Safety_Stock,Calculated_Reorder_Point,Expected_Demand_LeadTime,Projected_Stock,Selling_Price,Stockout_Risk_Status,Lost_Units,Projected_Lost_Revenue
SKU012,Product 012,Home Decor,Table,47,60,12,25.31,7.0,40.0,344.0,304.36,-197.36,8779.37,Critical,197.36,1732696.46
SKU031,Product 031,Furniture,Chair,93,40,13,18.13,5.31,32.0,267.0,236.9,-103.9,8715.93,Critical,103.9,905585.13
SKU017,Product 017,Home Decor,Cabinet,95,26,12,14.06,4.47,26.0,194.0,168.26,-47.26,8477.32,Critical,47.26,400638.14
SKU040,Product 040,Storage,Sofa,67,29,9,14.51,4.72,23.0,154.0,129.01,-33.01,2450.56,Critical,33.01,80892.99
SKU010,Product 010,Storage,Sofa,83,70,13,16.98,5.25,31.0,252.0,222.71,-69.71,663.46,Critical,69.71,46249.8
SKU001,Product 001,Furniture,Chair,771,147,4,13.64,4.75,16.0,70.0,55.9,862.1,3664.05,Overstock,0.0,0.0
SKU006,Product 006,Furniture,Shelf,359,485,13,6.82,2.81,17.0,105.0,86.13,757.87,8106.04,Overstock,0.0,0.0
SKU007,Product 007,Home Decor,Cabinet,207,460,8,24.3,6.53,30.0,225.0,189.6,477.4,5114.09,Overstock,0.0,0.0
SKU002,Product 002,Home Decor,Table,526,29,3,9.49,3.71,11.0,39.0,26.96,528.04,3805.69,Overstock,0.0,0.0
SKU003,Product 003,Kitchen,Cushion,349,12,3,5.36,2.76,8.0,24.0,15.27,345.73,8078.23,Overstock,0.0,0.0
SKU009,Product 009,Lighting,Organizer,75,89,7,10.86,3.81,17.0,93.0,75.67,88.33,2336.89,Warning,0.0,0.0
SKU008,Product 008,Kitchen,Rug,325,155,3,16.25,4.92,14.0,63.0,46.86,433.14,9842.64,Overstock,0.0,0.0
SKU013,Product 013,Kitchen,Cushion,151,95,4,13.34,4.52,15.0,68.0,54.98,191.02,5757.78,Overstock,0.0,0.0
SKU011,Product 011,Furniture,Chair,753,269,3,2.98,1.74,5.0,14.0,9.0,1013.0,1444.56,Overstock,0.0,0.0
SKU014,Product 014,Lighting,Cookware,309,334,10,19.68,5.97,31.0,228.0,192.87,450.13,2270.75,Normal,0.0,0.0
SKU015,Product 015,Storage,Lamp,187,245,9,4.19,2.2,11.0,49.0,37.03,394.97,6212.12,Overstock,0.0,0.0
SKU005,Product 005,Storage,Lamp,471,291,6,16.82,4.81,19.0,120.0,101.4,660.6,9493.22,Overstock,0.0,0.0
SKU004,Product 004,Lighting,Cookware,259,254,6,4.76,2.36,10.0,38.0,29.71,483.29,6861.57,Overstock,0.0,0.0
SKU018,Product 018,Kitchen,Rug,235,102,8,24.55,6.53,30.0,227.0,193.02,143.98,5575.41,Warning,0.0,0.0
SKU016,Product 016,Furniture,Shelf,255,187,11,13.92,4.41,24.0,177.0,151.86,290.14,2166.82,Normal,0.0,0.0
SKU021,Product 021,Furniture,Chair,88,97,9,8.29,3.15,16.0,90.0,72.79,112.21,7711.28,Normal,0.0,0.0
SKU019,Product 019,Lighting,Organizer,227,114,14,16.45,5.08,31.0,262.0,231.5,109.5,4819.85,Warning,0.0,0.0
