SKU,Product_Name,Category,Subcategory,Current_Stock,On_Order,Safety_Stock,Reorder_Point,Expected_Demand_LeadTime,Projected_Stock,Avg_Daily_Forecast,Days_Of_Stock_Remaining,Risk_Tier
SKU001,Product 001,Furniture,Chair,771,147,159,289,55.9,862.1,13.642333333333333,56.51525887555892,Overstock Risk
SKU002,Product 002,Home Decor,Table,526,29,94,149,26.96,528.04,9.492333333333333,55.413140429118236,Overstock Risk
SKU003,Product 003,Kitchen,Cushion,349,12,88,123,15.27,345.73,5.360666666666666,65.1038428056212,Overstock Risk
SKU004,Product 004,Lighting,Cookware,259,254,98,196,29.71,483.29,4.755333333333334,54.46516192345436,Overstock Risk
SKU005,Product 005,Storage,Lamp,471,291,129,245,101.4,660.6,16.82133333333333,28.000158528852253,Overstock Risk
SKU006,Product 006,Furniture,Shelf,359,485,129,340,86.13000000000002,757.87,6.816333333333334,52.66761210817155,Overstock Risk
SKU007,Product 007,Home Decor,Cabinet,207,460,98,237,189.6,477.4,24.300333333333334,8.518401668015528,Overstock Risk
SKU008,Product 008,Kitchen,Rug,325,155,91,161,46.86,433.14,16.252666666666666,19.99671848722261,Overstock Risk
SKU009,Product 009,Lighting,Organizer,75,89,63,131,75.67,88.33,10.864,6.903534609720176,Reorder Soon
SKU010,Product 010,Storage,Sofa,83,70,22,60,222.71,-69.71000000000001,16.981666666666666,4.887623908136225,High Risk - Stockout
SKU011,Product 011,Furniture,Chair,753,269,179,247,9.0,1013.0,2.9806666666666666,252.62804741668532,Overstock Risk
SKU012,Product 012,Home Decor,Table,47,60,16,58,304.36,-197.36,25.305333333333333,1.8573159808209072,High Risk - Stockout
SKU013,Product 013,Kitchen,Cushion,151,95,32,61,54.980000000000004,191.01999999999998,13.335333333333333,11.323301504774284,Overstock Risk
SKU014,Product 014,Lighting,Cookware,309,334,130,299,192.87,450.13,19.683,15.698826398414877,Healthy
SKU015,Product 015,Storage,Lamp,187,245,119,265,37.03,394.97,4.189666666666667,44.63362240432811,Healthy
SKU016,Product 016,Furniture,Shelf,255,187,30,129,151.86,290.14,13.915,18.325547969816746,Overstock Risk
SKU017,Product 017,Home Decor,Cabinet,95,26,108,274,168.26,-47.25999999999999,14.06,6.756756756756756,High Risk - Stockout
SKU018,Product 018,Kitchen,Rug,235,102,66,184,193.01999999999998,143.98000000000002,24.549333333333333,9.572561373017598,Reorder Soon
